id,group,x_off_mm,y_off_mm,mag_mm,mass_kg,z_com_m,roll_pos,roll_neg,pitch_pos,pitch_neg,verdict
sim_01,legacy,-6.0,0.0,6.0,3.066,0.261,0.993,-0.993,1.444,-1.083,ok
sim_02,legacy,0.0,10.0,10.0,3.066,0.261,1.293,-0.692,1.263,-1.263,ok
sim_03,legacy,10.0,-5.0,11.2,3.066,0.261,0.842,-1.143,0.962,-1.564,ok
sim_04,corner,20.0,20.0,28.3,3.066,0.261,1.594,-0.391,0.662,-1.865,ok
sim_05,corner,20.0,-20.0,28.3,3.066,0.261,0.391,-1.594,0.662,-1.865,ok
sim_06,corner,-20.0,20.0,28.3,3.066,0.261,1.594,-0.391,1.865,-0.662,ok
sim_07,corner,-20.0,-20.0,28.3,3.066,0.261,0.391,-1.594,1.865,-0.662,ok
sim_08,reach,10.0,25.0,26.9,3.066,0.261,1.744,-0.241,0.962,-1.564,ok
sim_09,reach,10.0,30.0,31.6,3.066,0.261,1.895,-0.09,0.962,-1.564,ok
sim_10,reach,10.0,35.0,36.4,3.066,0.261,2.045,0.06,0.962,-1.564,roll: one contact already unloaded at rest
sim_11,reach,10.0,40.0,41.2,3.066,0.261,2.196,0.211,0.962,-1.564,roll: one contact already unloaded at rest
sim_12,bearing,15.0,0.0,15.0,3.066,0.261,0.993,-0.993,0.812,-1.714,ok
sim_13,bearing,10.6,10.6,15.0,3.066,0.261,1.311,-0.674,0.944,-1.582,ok
sim_14,bearing,0.0,15.0,15.0,3.066,0.261,1.444,-0.541,1.263,-1.263,ok
sim_15,bearing,-10.6,10.6,15.0,3.066,0.261,1.311,-0.674,1.582,-0.944,ok
sim_16,mass,20.0,20.0,28.3,3.22,0.261,1.674,-0.411,0.695,-1.958,ok
sim_17,mass,10.0,30.0,31.6,3.22,0.261,1.99,-0.095,1.011,-1.643,ok
