case,axis,run,rate,gap_onset,gap_rel,tau_ms,M_crit
case_01,Mx,neg_Mx_01,0.1,0.011756497441879343,0.01107167626423414,117.56497441879343,-1.0618534322447128
case_01,Mx,neg_Mx_02,0.2,0.01706544010423472,0.01549131228954415,85.32720052117358,-1.1016135873623196
case_01,Mx,neg_Mx_03,0.3,0.028833469515387344,0.027620989408215984,96.11156505129115,-1.0438970555779838
case_01,Mx,neg_Mx_045,0.45,0.040065436609874494,0.03748219461541158,89.03430357749887,-1.068919176717597
case_01,Mx,neg_Mx_065,0.65,0.06167615904763046,0.052466351495089124,94.8863985348161,-1.175537411885852
case_01,Mx,neg_Mx_090,0.9,0.08936645730924586,0.0931649587709801,99.29606367693984,-0.9592282172198263
case_01,Mx,neg_Mx_120,1.2,0.1118115682497578,0.10122443986876188,93.17630687479817,-1.1045906343835756
case_01,Mx,pos_Mx_01,0.1,0.012312064502583042,0.014553277552754356,123.12064502583041,0.8459994291975046
case_01,Mx,pos_Mx_02,0.2,0.02081942411670712,0.02175188465025558,104.09712058353558,0.957131965871403
case_01,Mx,pos_Mx_03,0.3,0.030043218459363752,0.028975188444494863,100.1440615312125,1.0368601576798997
case_01,Mx,pos_Mx_045,0.45,0.04430523550108467,0.046383496500961026,98.45607889129927,0.9551939556813425
case_01,Mx,pos_Mx_065,0.65,0.05934358260957806,0.060230736453434054,91.29781939935087,0.9852707455346843
case_01,Mx,pos_Mx_090,0.9,0.08750143498157459,0.08216164282583066,97.22381664619398,1.0649913021708124
case_01,Mx,pos_Mx_120,1.2,0.11682440932152849,0.11585791369125222,97.35367443460709,1.0083420769413463
case_01,My,neg_My_01,0.1,0.007439408590026786,0.01601440667145253,74.39408590026785,-0.4645447528997976
case_01,My,neg_My_02,0.2,0.017645299410767312,0.038184724644636035,88.22649705383655,-0.4621036180038559
case_01,My,neg_My_03,0.3,0.030723792609656186,0.06658302771221179,102.41264203218729,-0.4614357992618174
case_01,My,neg_My_045,0.45,0.048703108831884334,0.10297919711787935,108.22913073752075,-0.47294123662796017
case_01,My,neg_My_065,0.65,0.06395566581867479,0.1333981178837707,98.39333202873044,-0.4794345440045798
case_01,My,neg_My_090,0.9,0.08594906731015695,0.16199659215988912,95.49896367795216,-0.530560959117745
case_01,My,neg_My_120,1.2,0.12186007324949549,0.27023998945035654,101.55006104124625,-0.45093279309752693
case_01,My,pos_My_01,0.1,0.00948307907853585,0.008725719303382793,94.83079078535849,1.0867962569984853
case_01,My,pos_My_02,0.2,0.02091584719842321,0.01799384150161421,104.57923599211604,1.1623892094718558
case_01,My,pos_My_03,0.3,0.0275424702842908,0.02528481314618961,91.80823428096934,1.0892890576271241
