case,controller,variant,tilt,rate,drift,speed,ddir
S1,HGDO,w_ff,0.6070,4.1207,0.0037,0.0218,3.3961
S1,HGDO,wo_ff,3.6919,25.4471,0.0841,0.1799,179.6944
S1,L1,w_ff,0.5972,3.7843,0.0105,0.0296,161.3562
S1,L1,wo_ff,3.1461,23.2361,0.0618,0.1486,-179.9082
S11,HGDO,w_ff,3.0132,27.6524,0.0507,0.1322,8.6198
S11,HGDO,wo_ff,20.6251,137.1353,0.6655,1.0879,19.0636
S11,L1,w_ff,5.5221,27.4602,0.2077,0.3904,18.3377
S11,L1,wo_ff,20.2906,125.4357,0.7185,1.0814,18.8692
S13,HGDO,w_ff,1.7452,14.2361,0.0353,0.0727,56.5941
S13,HGDO,wo_ff,24.5704,150.2089,0.7318,1.1287,45.8856
S13,L1,w_ff,4.5529,21.5127,0.4033,0.4297,45.8303
S13,L1,wo_ff,22.2502,150.7212,0.8252,0.9991,46.9408
S2,HGDO,w_ff,0.9876,6.6249,0.0042,0.0364,74.9974
S2,HGDO,wo_ff,6.1502,42.2939,0.1457,0.2991,89.9990
S2,L1,w_ff,1.0321,6.4272,0.0135,0.0476,89.3144
S2,L1,wo_ff,5.7557,37.2577,0.1556,0.2839,90.2398
S3,HGDO,w_ff,0.7479,4.9872,0.0053,0.0280,138.1230
S3,HGDO,wo_ff,6.5627,42.5661,0.1813,0.3279,-26.5439
S3,L1,w_ff,1.1046,5.3150,0.0387,0.0874,-23.9925
S3,L1,wo_ff,6.9414,42.8627,0.2024,0.3537,-26.2096
S4,HGDO,w_ff,2.6039,21.6798,0.0213,0.0765,45.6480
S4,HGDO,wo_ff,15.7821,107.9889,0.4368,0.7785,45.3509
S4,L1,w_ff,3.5958,17.8779,0.1280,0.2626,46.1232
S4,L1,wo_ff,14.6016,90.4999,0.4853,0.7956,45.7810
S5,HGDO,w_ff,2.4495,21.0977,0.0213,0.0748,-49.5736
S5,HGDO,wo_ff,16.1327,114.0227,0.4031,0.7602,-44.8681
S5,L1,w_ff,3.1993,22.0472,0.0580,0.1398,-49.6695
S5,L1,wo_ff,14.6170,95.5221,0.4403,0.7629,-45.5800
S6,HGDO,w_ff,2.4180,21.2635,0.0244,0.0793,130.2808
S6,HGDO,wo_ff,14.9295,103.2970,0.4080,0.7357,134.6434
S6,L1,w_ff,2.9463,20.7037,0.0568,0.1370,131.3695
S6,L1,wo_ff,14.3872,104.1395,0.3691,0.7038,134.5329
S7,HGDO,w_ff,2.8230,22.7812,0.0226,0.0786,-129.7965
S7,HGDO,wo_ff,15.4719,108.4655,0.4175,0.7597,-134.4976
S7,L1,w_ff,3.4056,19.8196,0.0901,0.1919,-134.6324
S7,L1,wo_ff,13.3854,93.7007,0.3553,0.6587,-134.4234
S8,HGDO,w_ff,2.4390,22.5263,0.0369,0.1032,52.2238
S8,HGDO,wo_ff,17.7613,117.0147,0.5835,0.9689,45.8731
S8,L1,w_ff,4.7035,23.2289,0.1705,0.3340,46.4447
S8,L1,wo_ff,17.9976,112.3350,0.6329,0.9964,46.0211
S9,HGDO,w_ff,3.4169,30.2352,0.0604,0.1510,58.0907
S9,HGDO,wo_ff,33.9117,223.5062,1.0830,1.2381,46.9599
S9,L1,w_ff,6.4094,31.9923,0.2408,0.4463,47.8599
S9,L1,wo_ff,21.3618,160.6102,0.8521,1.2035,46.4922
