dphi_deg,n_runs,residual_mNm,single_theory_mNm,single_diff_mNm,single_diff_demeaned,interf_theory_mNm,interf_diff_mNm,interf_diff_demeaned,garofano_theory_mNm,garofano_diff_mNm,garofano_diff_demeaned
1.25,137,398.9,35.7,364.5,45.5,153.0,255.0,46.0,350.1,95.2,44.2
1.50,137,401.0,35.3,366.8,54.4,152.2,248.1,53.4,348.7,80.7,51.3
1.75,137,360.5,35.2,327.0,-2.7,151.6,219.0,-4.2,347.6,59.9,-5.9
2.00,137,322.6,35.0,295.4,28.2,150.9,187.5,27.7,346.4,36.1,27.6
2.25,137,347.2,34.7,317.0,-6.6,150.0,197.3,-7.2,345.1,17.4,-7.7
2.50,137,303.6,34.4,274.3,-1.6,150.5,174.9,-1.7,343.9,24.2,-2.0
2.75,133,305.8,34.6,273.7,-11.5,151.4,170.7,-12.0,343.9,10.8,-11.8
3.00,130,274.4,34.5,239.8,-38.7,152.0,127.3,-38.2,344.1,-45.1,-37.4
3.25,118,273.6,35.2,236.6,-16.7,155.1,110.8,-16.6,347.5,-67.1,-15.3
3.50,112,268.6,35.1,229.9,-25.8,155.4,100.6,-25.7,347.3,-74.7,-24.1
3.75,99,259.2,35.2,222.0,-43.6,155.1,104.5,-41.6,346.7,-65.8,-39.5
4.00,89,282.1,34.4,246.8,-54.8,153.9,124.4,-53.9,344.8,-66.4,-51.9
