case,ax,rate,res,nhi
case_01,Mx,0.1,2.2609122282308736,0.6265775064334604
case_01,Mx,0.2,1.085652047502313,0.6936333301753531
case_01,Mx,0.3,1.6729061483537415,0.7612725721983848
case_01,Mx,0.45,1.4762351909383904,0.70060495088521
case_01,Mx,0.65,2.1003978259807847,0.9986881447397323
case_01,Mx,0.9,1.2268088669612733,0.8201550420437677
case_01,Mx,1.2,3.0250930110250893,1.0829896337667704
case_01,Mx,0.1,1.3170234623949835,0.5117482956028615
case_01,Mx,0.2,0.8830062804926246,0.5208299735174092
case_01,Mx,0.3,1.0645684820372172,0.4207830241067208
case_01,Mx,0.45,0.8321235705429899,0.5955301263284493
case_01,Mx,0.65,0.7363392156916536,0.5329392317077696
case_01,Mx,0.9,0.7402621194327931,0.49883769395919075
case_01,Mx,1.2,0.7012714786871493,0.6366907657612714
case_01,My,0.1,1.3886427292487962,0.8567627965839992
case_01,My,0.2,1.5078296096607327,0.8422667023148112
case_01,My,0.3,0.9542137642274909,0.7710846861259568
case_01,My,0.45,1.1319925259696075,0.741414273000269
case_01,My,0.65,0.9967416475049183,0.8634674925082378
case_01,My,0.9,2.7282604550975624,1.2906131105967882
case_01,My,1.2,0.7607615155611362,0.6132134670023006
case_01,My,0.1,1.5684176993598113,1.0340424217642699
case_01,My,0.2,1.606767663478153,0.7662094881511717
case_01,My,0.3,1.6126253684014196,0.6678387823233757
case_01,My,0.45,1.3442019228925557,0.7641146143258748
case_01,My,0.65,3.7767820480539838,0.8322315001934667
case_01,My,0.9,1.9172316710617219,0.7351389227936841
case_01,My,1.2,0.792826774515708,0.5531709904456261
case_02,Mx,0.1,1.5412791817241775,0.533720298409634
case_02,Mx,0.2,1.3051128349949113,0.7937749566206821
case_02,Mx,0.3,1.2676791840318733,0.8744495367515227
case_02,Mx,0.45,0.755883072910409,0.658492238311911
case_02,Mx,0.65,0.9266996136256369,0.6289115539754785
case_02,Mx,0.9,2.024789015823357,0.8331294789781608
case_02,Mx,1.2,1.1776744178216267,0.7156355300952193
case_02,Mx,0.1,1.0685587960705485,0.5885562469054068
case_02,Mx,0.2,1.4174125142912206,0.6988729370374814
case_02,Mx,0.3,1.307025075694908,0.773914286593558
case_02,Mx,0.45,0.8893517386800021,0.5616516796188775
case_02,Mx,0.65,0.7719069509041813,0.5488357451840409
case_02,Mx,0.9,0.930844442405786,0.5523404046599533
case_02,Mx,1.2,0.9860521621844036,0.5190783425288823
case_02,My,0.1,1.285620741400549,0.8620957448253942
case_02,My,0.2,1.3592704439809884,0.9463015862689287
case_02,My,0.3,1.3274105110481114,0.888680621990935
case_02,My,0.45,1.3215736034977315,0.8015764229214931
case_02,My,0.65,0.8560656266981627,0.6254689401019157
