case,ax,rate,res
case_01,Mx,0.1,2.2609122282308736
case_01,Mx,0.2,1.085652047502313
case_01,Mx,0.3,1.6729061483537415
case_01,Mx,0.45,1.4762351909383904
case_01,Mx,0.65,2.1003978259807847
case_01,Mx,0.9,1.2268088669612733
case_01,Mx,1.2,3.0250930110250893
case_01,Mx,0.1,1.3170234623949835
case_01,Mx,0.2,0.8830062804926246
case_01,Mx,0.3,1.0645684820372172
case_01,Mx,0.45,0.8321235705429899
case_01,Mx,0.65,0.7363392156916536
case_01,Mx,0.9,0.7402621194327931
case_01,Mx,1.2,0.7012714786871493
case_01,My,0.1,1.3886427292487962
case_01,My,0.2,1.5078296096607327
case_01,My,0.3,0.9542137642274909
case_01,My,0.45,1.1319925259696075
case_01,My,0.65,0.9967416475049183
case_01,My,0.9,2.7282604550975624
case_01,My,1.2,0.7607615155611362
case_01,My,0.1,1.5684176993598113
case_01,My,0.2,1.606767663478153
case_01,My,0.3,1.6126253684014196
case_01,My,0.45,1.3442019228925557
case_01,My,0.65,3.7767820480539838
case_01,My,0.9,1.9172316710617219
case_01,My,1.2,0.792826774515708
case_02,Mx,0.1,1.5412791817241775
case_02,Mx,0.2,1.3051128349949113
case_02,Mx,0.3,1.2676791840318733
case_02,Mx,0.45,0.755883072910409
case_02,Mx,0.65,0.9266996136256369
case_02,Mx,0.9,2.024789015823357
case_02,Mx,1.2,1.1776744178216267
case_02,Mx,0.1,1.0685587960705485
case_02,Mx,0.2,1.4174125142912206
case_02,Mx,0.3,1.307025075694908
case_02,Mx,0.45,0.8893517386800021
case_02,Mx,0.65,0.7719069509041813
case_02,Mx,0.9,0.930844442405786
case_02,Mx,1.2,0.9860521621844036
case_02,My,0.1,1.285620741400549
case_02,My,0.2,1.3592704439809884
case_02,My,0.3,1.3274105110481114
case_02,My,0.45,1.3215736034977315
case_02,My,0.65,0.8560656266981627
case_02,My,0.9,1.7006197897305189
case_02,My,1.2,4.401731554424523
case_02,My,0.1,1.958106484829211
case_02,My,0.2,1.4919836883192696
case_02,My,0.3,1.4995126027749077
case_02,My,0.45,1.2821702645734463
case_02,My,0.65,2.039449215174272
case_02,My,0.9,1.313162633331782
case_02,My,1.2,2.0402587534192698
case_03,Mx,0.1,2.171732088558878
case_03,Mx,0.2,1.8909172157695675
case_03,Mx,0.3,1.4307591335473415
case_03,Mx,0.45,1.5596683462013925
case_03,Mx,0.65,1.0475389254604144
case_03,Mx,0.9,1.2654811938106956
case_03,Mx,1.2,1.7654442595186495
case_03,Mx,0.1,1.0921872661346281
case_03,Mx,0.2,1.2244618821379756
case_03,Mx,0.3,0.9384438893229401
case_03,Mx,0.45,0.8460023149119589
case_03,Mx,0.65,1.3410416243243954
case_03,Mx,0.9,2.2565401923735906
case_03,Mx,1.2,0.6527635034046673
case_03,My,0.1,1.8063187378288927
case_03,My,0.2,1.7827091417628798
case_03,My,0.3,1.035465398938738
case_03,My,0.45,1.216079182776491
case_03,My,0.65,1.2119739583994076
case_03,My,0.9,1.7076250216045863
case_03,My,1.2,2.5514067664218647
case_03,My,0.1,1.8067674199899204
case_03,My,0.2,2.1812176544100335
case_03,My,0.3,1.5871229296381244
case_03,My,0.45,1.4184584678057526
case_03,My,0.65,2.2067537011591893
case_03,My,0.9,1.5634689191592939
case_03,My,1.2,1.2681519935228849
case_04,Mx,0.1,1.9253036784150799
case_04,Mx,0.2,0.9123901397802906
case_04,Mx,0.3,1.5408742561680675
case_04,Mx,0.45,0.9870332500647842
case_04,Mx,0.65,1.67681583011964
case_04,Mx,0.9,1.276893352694454
case_04,Mx,1.2,1.2056995943851954
case_04,Mx,0.1,1.2683228719591717
case_04,Mx,0.2,1.1983947853996144
case_04,Mx,0.3,0.984046919378598
case_04,Mx,0.45,0.6955123871642251
case_04,Mx,0.65,0.832663645496354
case_04,Mx,0.9,0.8863736421845367
case_04,Mx,1.2,1.0745878697546716
case_04,My,0.1,1.645763457340078
case_04,My,0.2,1.7744454281094533
case_04,My,0.3,1.421743703440129
case_04,My,0.45,1.9884599684521977
case_04,My,0.65,1.1071766705101342
case_04,My,0.9,1.8481843209863904
case_04,My,1.2,3.3249109485786357
case_04,My,0.1,2.1894140074436352
case_04,My,0.2,3.2111857007542715
case_04,My,0.3,1.6932575295095555
case_04,My,0.45,1.926795539606529
case_04,My,0.65,1.1237207932695534
case_04,My,0.9,1.2295681358284403
case_04,My,1.2,2.7083519804663045
case_05,Mx,0.1,1.7713901650136983
case_05,Mx,0.2,1.2737896956640946
case_05,Mx,0.3,2.2151279390695464
case_05,Mx,0.45,2.052755057540356
case_05,Mx,0.65,1.395032415097886
case_05,Mx,0.9,1.9842462909771892
case_05,Mx,1.2,0.9735328715791607
case_05,Mx,0.1,0.9376472199518487
case_05,Mx,0.2,1.1582117255122555
case_05,Mx,0.3,0.8854016040492788
case_05,Mx,0.45,1.2429771292204546
case_05,Mx,0.65,0.5816524755254564
case_05,Mx,0.9,0.702168753630493
case_05,Mx,1.2,0.6192806674509099
case_05,My,0.1,1.0761776050614489
case_05,My,0.2,1.1875273712528571
case_05,My,0.3,1.2875186992895014
case_05,My,0.45,1.9214541786874337
case_05,My,0.65,1.5441746493742887
case_05,My,0.9,0.9607280870654031
case_05,My,1.2,1.536087886536927
case_05,My,0.1,1.851401115357202
case_05,My,0.2,1.469118074788874
case_05,My,0.3,2.02394414758248
case_05,My,0.45,1.3558834534002333
case_05,My,0.65,1.7096808445054288
case_05,My,0.9,1.065574160389588
case_05,My,1.2,1.4502568308454287
