case,axis,rate,x,phi_deg,cap_degs,res_degs,noise_degs
case_01,Mx,0.1,3.815,4.947,1.3343,1.8665,0.0457
case_01,Mx,0.2,3.338,4.989,0.9067,1.8613,0.0520
case_01,Mx,0.3,2.914,4.717,0.5685,2.3987,0.0367
case_01,Mx,0.45,2.914,6.572,1.1068,2.0423,0.0811
case_01,Mx,0.65,2.596,6.489,0.8319,2.7413,0.1117
case_01,Mx,0.9,2.437,6.878,0.8249,2.7918,0.0938
case_01,Mx,1.2,2.331,7.733,0.9603,3.0671,0.0857
case_01,Mx,0.1,3.921,5.001,1.4971,1.2335,0.0594
case_01,Mx,0.2,3.285,4.669,0.7594,1.1674,0.0638
case_01,Mx,0.3,3.073,5.446,0.8661,1.3877,0.0614
case_01,Mx,0.45,2.644,4.582,0.4320,1.6399,0.0785
case_01,Mx,0.65,2.437,5.035,0.4417,1.6706,0.1314
case_01,Mx,0.9,2.225,5.181,0.3953,2.0877,0.1371
case_01,Mx,1.2,2.067,5.244,0.3590,2.2573,0.0627
case_01,My,0.1,3.403,4.392,0.8351,0.9200,0.2736
case_01,My,0.2,2.689,3.683,0.3236,1.3116,0.2256
case_01,My,0.3,2.440,3.848,0.2885,1.2992,0.2255
case_01,My,0.45,2.056,3.301,0.1564,1.3521,0.3603
case_01,My,0.65,1.917,3.763,0.1824,2.2218,0.1921
case_01,My,0.9,1.582,2.844,0.0804,2.4978,0.3003
case_01,My,1.2,1.438,3.107,0.0855,2.3185,0.2337
case_01,My,0.1,3.691,6.082,2.0465,1.1248,0.2356
case_01,My,0.2,3.025,5.716,1.0284,1.0806,0.2647
case_01,My,0.3,2.727,5.836,0.8385,1.3334,0.3184
case_01,My,0.45,2.540,6.754,0.9646,1.7544,0.2081
case_01,My,0.65,2.253,5.965,0.5994,1.8856,0.2892
case_01,My,0.9,2.061,6.449,0.6002,2.6293,0.3451
case_01,My,1.2,1.965,7.612,0.7737,2.9550,0.2838
case_02,Mx,0.1,4.179,5.086,1.5241,1.1516,0.0879
case_02,Mx,0.2,3.582,5.062,0.9049,1.7416,nan
case_02,Mx,0.3,3.202,4.711,0.5709,1.6157,nan
case_02,Mx,0.45,3.094,6.225,0.9113,1.9992,0.1100
case_02,Mx,0.65,2.822,6.458,0.7861,1.9710,0.0671
case_02,Mx,0.9,2.660,6.944,0.7996,2.3198,0.0556
case_02,Mx,1.2,2.388,6.454,0.5577,2.4595,0.1116
case_02,Mx,0.1,4.451,6.394,3.0565,1.2849,0.1795
case_02,Mx,0.2,3.582,4.946,0.8644,1.3874,0.0430
case_02,Mx,0.3,3.311,5.561,0.8697,1.3265,0.1366
case_02,Mx,0.45,2.931,5.063,0.5281,1.4148,0.0473
case_02,Mx,0.65,2.768,5.724,0.5931,1.1758,0.0834
