case,ax,rate,de,de_lo,cap
S1,Mx,0.1,0.4060073608218315,0.17231351646635112,0.08967287265510704
S1,Mx,0.2,0.5732185049943321,0.25272942184232283,0.09064849371074572
S1,Mx,0.3,0.6347927615476632,0.26788931769538427,0.09314876737412418
S1,Mx,0.45,0.7691153652173889,0.30321349413580134,0.09702807430132501
S1,Mx,0.65,0.7021834975581084,0.3117529407508657,0.10179204679330112
S1,Mx,0.9,0.8084777451728402,0.32358628129361827,0.10707049874235809
S1,Mx,1.2,0.8758559610156158,0.3735944287369179,0.11263675623453431
S1,Mx,0.1,0.5402457409024092,0.24698801043186416,0.08967287265510704
S1,Mx,0.2,0.6385582946468943,0.2429421129123167,0.09064849371074572
S1,Mx,0.3,0.5995007310450637,0.2824167175009247,0.09314876737412418
S1,Mx,0.45,0.7077987434891143,0.285217832391239,0.09702807430132501
S1,Mx,0.65,0.6531308894531596,0.2983948931323941,0.10179204679330112
S1,Mx,0.9,0.7713049651219671,0.3025769459154847,0.10707049874235809
S1,Mx,1.2,0.7854771672688287,0.3563385584566794,0.11263675623453431
S1,My,0.1,0.4572309480663627,0.23537559041769854,0.11804733111306616
S1,My,0.2,0.5674685035823938,0.28617976041161935,0.11813521641045903
S1,My,0.3,0.6150063275365573,0.25851622868459023,0.12099912757922354
S1,My,0.45,0.6703409428198497,0.2698346342537482,0.12579096037781834
S1,My,0.65,0.7618205498413373,0.3433152219321962,0.13183499262291445
S1,My,0.9,0.31870552404769475,0.23342749758112755,0.1386076579537632
S1,My,1.2,0.7971323663737266,0.34005293042023593,0.14578809666674897
S1,My,0.1,0.5039002023055816,0.26032290418406917,0.11804733111306616
S1,My,0.2,0.6694276825436635,0.30976516027507056,0.11813521641045903
S1,My,0.3,0.8233710451698862,0.3483134216779984,0.12099912757922354
S1,My,0.45,0.760138302121565,0.34340221872619975,0.12579096037781834
S1,My,0.65,0.8211308575551498,0.3456864142630286,0.13183499262291445
S1,My,0.9,0.8818973894812225,0.38823007762131867,0.1386076579537632
S1,My,1.2,0.8946016578051864,0.42937273979960133,0.14578809666674897
S2,Mx,0.1,0.48227342627912884,0.2373498565171589,0.0985890135525147
S2,Mx,0.2,0.5405783841598796,0.2637503767365689,0.09930094859733896
S2,Mx,0.3,0.6318796980043894,0.2723112647107113,0.10190847056343719
S2,Mx,0.45,0.6959257831456176,0.2639034304733965,0.10605855116679389
S2,Mx,0.65,0.720945350947658,0.27340195574327164,0.11120370907776082
S2,Mx,0.9,0.7021001194196211,0.34193276012283275,0.11692845244313597
S2,Mx,1.2,0.813365557552898,0.3610593012897852,0.122978081769433
S2,Mx,0.1,0.4556013768415799,0.21523422388954616,0.0985890135525147
S2,Mx,0.2,0.6117012509542404,0.27296917001886484,0.09930094859733896
S2,Mx,0.3,0.6748279854765765,0.32763089530700734,0.10190847056343719
S2,Mx,0.45,0.7160449517932447,0.34816192566246645,0.10605855116679389
S2,Mx,0.65,0.9904166006022098,0.3935446182019211,0.11120370907776082
S2,Mx,0.9,0.9181496763466538,0.36169838580488695,0.11692845244313597
S2,Mx,1.2,1.0152209765357325,0.4226135252408349,0.122978081769433
S2,My,0.1,0.5291594337152241,0.23230991620131022,0.1126953535008899
S2,My,0.2,0.6294825324403639,0.25397348569528877,0.11301011068615019
S2,My,0.3,0.6182983385734323,0.27498923826405475,0.11583489749336599
S2,My,0.45,0.7024793671401185,0.30755386813411195,0.12048343479613663
S2,My,0.65,0.7251140254100346,0.33200580222129816,0.12631309793691256
S2,My,0.9,0.7665265896481779,0.31411998393528434,0.13282945163505114
S2,My,1.2,0.7472696552627464,0.3621329351485822,0.1397296731352822
S2,My,0.1,0.5418796071740357,0.25123483977903094,0.1126953535008899
S2,My,0.2,0.5099634005304859,0.21128583691198083,0.11301011068615019
S2,My,0.3,0.531194660239197,0.2290521394435978,0.11583489749336599
S2,My,0.45,0.6294358127794838,0.2541874838559245,0.12048343479613663
S2,My,0.65,0.7778003181575165,0.30606863200685963,0.12631309793691256
S2,My,0.9,0.8003001531999719,0.3335845294138695,0.13282945163505114
S2,My,1.2,0.8104834342166336,0.33950915795466396,0.1397296731352822
S3,Mx,0.1,0.5012388468104928,0.22711773872165808,0.09411502515453742
S3,Mx,0.2,0.6725787939378748,0.2898559214717528,0.09496614443047838
S3,Mx,0.3,0.7109323199935584,0.2975168320784611,0.0975225432723634
S3,Mx,0.45,0.699775647927266,0.2861297481363064,0.10153894309159955
S3,Mx,0.65,0.7869566513850272,0.33258774248549783,0.10649458960534963
S3,Mx,0.9,0.938925141755738,0.3752414358014336,0.11199688659281105
S3,Mx,1.2,0.9168065809286386,0.38289814862417176,0.11780530190984477
