case,ax,rate,res,cap
S1,Mx,0.1,0.3025312121947192,1.006581636543748
S1,Mx,0.2,0.24229515473851557,0.6399326109177337
S1,Mx,0.3,0.21729128249708876,0.5069301119575444
S1,Mx,0.45,0.13550475734998335,0.41174679987342133
S1,Mx,0.65,0.11562185964317889,0.3488236859481849
S1,Mx,0.9,0.10787847870444,0.29899605778978544
S1,Mx,1.2,0.13574232043504245,0.28793914972546836
S1,Mx,0.1,0.5102932391537282,1.0132999866437622
S1,Mx,0.2,0.3269196680247855,0.637811235704568
S1,Mx,0.3,0.1259141216514131,0.5002944507781304
S1,Mx,0.45,0.13522574144584748,0.40998788890651583
S1,Mx,0.65,0.1252440363689483,0.34218048091778697
S1,Mx,0.9,0.11661629983240708,0.30858203919034377
S1,Mx,1.2,0.11602138866163023,0.27904580039625027
S1,My,0.1,0.4641358025030535,1.2294576186902606
S1,My,0.2,0.3656541169049782,0.7860621428451505
S1,My,0.3,0.22964919588891203,0.6112714743039895
S1,My,0.45,0.17798148352041893,0.5067962560727236
S1,My,0.65,0.16388360955305767,0.4384105099713518
S1,My,0.9,0.17242934564467033,0.3845572521225462
S1,My,1.2,0.1844713623815531,0.3736738792174754
S1,My,0.1,0.4630307302929477,1.2296145033921528
S1,My,0.2,0.3865633202997354,0.7830198625628495
S1,My,0.3,0.2556918464006395,0.6176168580668524
S1,My,0.45,0.1761198661631554,0.5093502295869865
S1,My,0.65,0.16718431572964598,0.44648980879374217
S1,My,0.9,0.1658558182246895,0.38755240563938936
S1,My,1.2,0.20170278028065367,0.37599361489104327
S2,Mx,0.1,0.576126559689801,1.0977068956121507
S2,Mx,0.2,0.3547240624385537,0.6932378058789839
S2,Mx,0.3,0.2033977801823346,0.5589571259674031
S2,Mx,0.45,0.1824185334582626,0.4518613021315404
S2,Mx,0.65,0.13814665899140757,0.39066561195666605
S2,Mx,0.9,0.1789968488424254,0.3573797211575038
S2,Mx,1.2,0.1593198724298269,0.32047118759281484
S2,Mx,0.1,0.2924578385738669,1.0932184431142327
S2,Mx,0.2,0.24540585500087916,0.7054559577696716
S2,Mx,0.3,0.2268531455039,0.5520535901729645
S2,Mx,0.45,0.14710650134337136,0.4564177671251344
S2,Mx,0.65,0.16765718606014074,0.39288142683431015
S2,Mx,0.9,0.15470572858115872,0.3654653576232677
S2,Mx,1.2,0.17592696416992484,0.337176732715507
S2,My,0.1,0.6025982621704682,1.1854388794670223
S2,My,0.2,0.475750723000108,0.7395355660361642
S2,My,0.3,0.16528679188974488,0.5826258203673251
S2,My,0.45,0.14070650656707565,0.47544734052626614
S2,My,0.65,0.12771026902299318,0.39626197137957997
S2,My,0.9,0.11664291208789962,0.34299234428262027
S2,My,1.2,0.1407512348209922,0.3206390089204243
S2,My,0.1,0.5753984824955137,1.1785496655674481
S2,My,0.2,0.3042236175651238,0.7440673921375278
S2,My,0.3,0.1937204067910028,0.5867114670464182
S2,My,0.45,0.13080558346702792,0.4709196983351179
S2,My,0.65,0.12802199748049004,0.40865059399746806
S2,My,0.9,0.12338764807164694,0.35295986980801874
S2,My,1.2,0.14353956107583285,0.3212146558985283
S3,Mx,0.1,0.5092636565887707,1.0499675314179835
S3,Mx,0.2,0.31937488956688176,0.6541131877671331
S3,Mx,0.3,0.24715708749324908,0.5246063714775768
S3,Mx,0.45,0.12463503776588457,0.4336535540189965
S3,Mx,0.65,0.1309396625837304,0.36214575731953147
S3,Mx,0.9,0.12173064307722939,0.31471984145873444
S3,Mx,1.2,0.13600444871826498,0.2985082312825351
S3,Mx,0.1,0.3539476115271059,1.0527502741851118
S3,Mx,0.2,0.42953803449063493,0.6658882051544225
S3,Mx,0.3,0.12824826457789712,0.5222967616868949
S3,Mx,0.45,0.11990382384380893,0.4272011937390196
S3,Mx,0.65,0.10785953064875459,0.34509250567944194
S3,Mx,0.9,0.10522327812693259,0.30342801140469766
S3,Mx,1.2,0.12837171489760188,0.2900788274574519
S3,My,0.1,0.41166741578498145,1.2563777083115124
S3,My,0.2,0.3881340219166922,0.7822245369612312
S3,My,0.3,0.19305680870248634,0.6112984085548289
S3,My,0.45,0.11634605074926774,0.4899366585378049
S3,My,0.65,0.12523942537379631,0.4214316502967146
S3,My,0.9,0.12957647471546796,0.3679834898559118
S3,My,1.2,0.12065233781345111,0.3256646100478666
S3,My,0.1,0.38415856354979805,1.26292703763737
S3,My,0.2,0.2980092963005469,0.7833123319310824
S3,My,0.3,0.16060886334439473,0.6098684049233856
S3,My,0.45,0.13887024421186175,0.4933509058377401
S3,My,0.65,0.10452181394142683,0.4029478706270455
S3,My,0.9,0.13056334448278664,0.3744792290448706
S3,My,1.2,0.19755362968465578,0.33691822921750963
S4,Mx,0.1,0.48918870051012747,1.171869354399301
S4,Mx,0.2,0.3948284476905227,0.7295325501540976
S4,Mx,0.3,0.23699303457031234,0.5788266031025919
S4,Mx,0.45,0.11802956790107517,0.46580955459061435
S4,Mx,0.65,0.12165194436057272,0.4001464919368193
S4,Mx,0.9,0.10430690663767546,0.32532595291418054
S4,Mx,1.2,0.12411667839886634,0.30842407197079924
S4,Mx,0.1,0.3529794650630474,1.1707591184321635
S4,Mx,0.2,0.30554685058856024,0.7303223384465849
S4,Mx,0.3,0.30015647781872545,0.5772047766219879
S4,Mx,0.45,0.11974945369440772,0.46365541390680487
S4,Mx,0.65,0.12730620506326054,0.39856943648377147
S4,Mx,0.9,0.12844273940526557,0.35366665909016737
S4,Mx,1.2,0.12946710377363646,0.29945617906816535
S4,My,0.1,0.37124570341484825,1.3317474242427214
S4,My,0.2,0.31919674051262276,0.8264964809564548
S4,My,0.3,0.23274383183864353,0.6426443036175871
S4,My,0.45,0.11869675636399955,0.5211941619985494
S4,My,0.65,0.1213841076047134,0.436750195635076
S4,My,0.9,0.12033730040754552,0.3749857972668196
S4,My,1.2,0.1258393209404249,0.34733511421147045
S4,My,0.1,0.3472418526957918,1.3352072187551154
S4,My,0.2,0.2662959116807852,0.8198857172781406
S4,My,0.3,0.18231484259518277,0.6433878492135455
S4,My,0.45,0.10800976764771776,0.5087246814231694
S4,My,0.65,0.11360214470113492,0.43560679588008877
S4,My,0.9,0.12368844807871285,0.38265064159392403
S4,My,1.2,0.1323763148214322,0.34689505656378306
S5,Mx,0.1,0.5952868055709492,1.174832208918976
S5,Mx,0.2,0.3384464225623048,0.7321629671518475
S5,Mx,0.3,0.17598321677549902,0.5808484071187399
S5,Mx,0.45,0.12747175483467332,0.4728249759423312
S5,Mx,0.65,0.1312571346437431,0.39715207413325726
S5,Mx,0.9,0.16011210865751724,0.3417404593513853
S5,Mx,1.2,0.120013624642321,0.3177818973174556
S5,Mx,0.1,0.4303995459668483,1.1675990794245839
S5,Mx,0.2,0.36443572026917637,0.7467981283013905
S5,Mx,0.3,0.11519322469180635,0.5651763922705827
S5,Mx,0.45,0.11794651563186748,0.4632870493916636
S5,Mx,0.65,0.1397883941347466,0.40162257393824147
S5,Mx,0.9,0.1294867437595343,0.3544875423729723
S5,Mx,1.2,0.12498407694809407,0.3101409709826538
S5,My,0.1,0.6891721949026957,1.3369289192743743
S5,My,0.2,0.4213493151369468,0.8282010573484003
S5,My,0.3,0.19765383792891925,0.6408330220560857
S5,My,0.45,0.12231847386575395,0.518429765363063
S5,My,0.65,0.12163229619545705,0.43788122266335283
S5,My,0.9,0.14228472677250262,0.37609647524494105
S5,My,1.2,0.11838653632415073,0.3433755944921021
S5,My,0.1,0.5362337575485758,1.3386132351580189
S5,My,0.2,0.3145746475889389,0.8314315080129981
S5,My,0.3,0.22648949014061834,0.6479016054732012
S5,My,0.45,0.11407930451711988,0.5116131844761843
S5,My,0.65,0.11676094904294275,0.4272301511826231
S5,My,0.9,0.09764156125206465,0.3596855029158386
S5,My,1.2,0.11089114973247563,0.3315712075947451
S6,Mx,0.1,0.6069178412541347,1.1800080448229795
S6,Mx,0.2,0.3324450207990289,0.73494227651986
S6,Mx,0.3,0.181736320126019,0.5650317060674193
S6,Mx,0.45,0.1266029623728446,0.471804116274137
S6,Mx,0.65,0.1134266689990856,0.3864638231263858
S6,Mx,0.9,0.11740436779041719,0.34311361378522076
S6,Mx,1.2,0.12746611881556652,0.3055433828909857
S6,Mx,0.1,0.6548109324907645,1.1686709784890577
S6,Mx,0.2,0.37974685566363336,0.7308013369330033
S6,Mx,0.3,0.18267114162506767,0.5763546715482952
S6,Mx,0.45,0.12248911038850048,0.47141363431853334
S6,Mx,0.65,0.1314216951858861,0.39728390449488515
S6,Mx,0.9,0.13523565386529748,0.33109856980031616
S6,Mx,1.2,0.13411933307528043,0.31515661188811717
S6,My,0.1,0.5740678250894393,1.3285036759374402
S6,My,0.2,0.3869891891915668,0.8322238997734834
S6,My,0.3,0.1968221211179369,0.6405376959106773
S6,My,0.45,0.13539911324859105,0.5245697072109735
S6,My,0.65,0.12242481542954108,0.43957549382647326
S6,My,0.9,0.13336689517875366,0.3772586250939606
S6,My,1.2,0.12445098938813651,0.3490041552483354
S6,My,0.1,0.43712632363288034,1.3310855761655602
S6,My,0.2,0.4269520771982651,0.8259117635233437
