case,ax,rate,res,cap
S1,Mx,0.1,0.11596831819034405,0.8959238941006403
S1,Mx,0.2,0.11707901247417318,0.5254007723345692
S1,Mx,0.3,0.11496600124717903,0.3929592777271567
S1,Mx,0.45,0.11497499186576236,0.2993280399356322
S1,Mx,0.65,0.11378903472479439,0.23782677623390042
S1,Mx,0.9,0.10465605820719275,0.19670480097833404
S1,Mx,1.2,0.11960130903461193,0.1680981815138913
S1,Mx,0.1,0.11840221829822137,0.8959238941006403
S1,Mx,0.2,0.11335792141664293,0.5254007723345692
S1,Mx,0.3,0.11164587276295329,0.3929592777271567
S1,Mx,0.45,0.11401718216821832,0.2993280399356322
S1,Mx,0.65,0.1127405574158872,0.23782677623390042
S1,Mx,0.9,0.11275465619133569,0.19670480097833404
S1,Mx,1.2,0.11497666193033128,0.1680981815138913
S1,My,0.1,0.11833990896000107,1.1137223497427475
S1,My,0.2,0.13497381076228862,0.6529020924735642
S1,My,0.3,0.1293171993087352,0.488055128524575
S1,My,0.45,0.1405531363579991,0.37142814294564636
S1,My,0.65,0.15950340316030112,0.2947555566538481
S1,My,0.9,0.14778693810256144,0.2434421911093058
S1,My,1.2,0.17137692956295011,0.2077129152684605
S1,My,0.1,0.12061879725388355,1.1137223497427475
S1,My,0.2,0.1356415125754282,0.6529020924735642
S1,My,0.3,0.13123567191952165,0.488055128524575
S1,My,0.45,0.14221199798876225,0.37142814294564636
S1,My,0.65,0.15825418267186273,0.2947555566538481
S1,My,0.9,0.15421983113813847,0.2434421911093058
S1,My,1.2,0.1773583880326295,0.2077129152684605
S2,Mx,0.1,0.12237247660845971,0.976095387566089
S2,Mx,0.2,0.12897718218006288,0.571888345639466
S2,Mx,0.3,0.13267997259621514,0.42740671515865236
S2,Mx,0.45,0.13252675688971086,0.32526354665880747
S2,Mx,0.65,0.13820262727125385,0.25817125898419097
S2,Mx,0.9,0.15101041884399583,0.21331092234175483
S2,Mx,1.2,0.1470691628631241,0.18210370110781732
S2,Mx,0.1,0.12035089073663481,0.976095387566089
S2,Mx,0.2,0.1340579604551679,0.571888345639466
S2,Mx,0.3,0.13047633542876083,0.42740671515865236
S2,Mx,0.45,0.13667817209160246,0.32526354665880747
S2,Mx,0.65,0.13679375247615472,0.25817125898419097
S2,Mx,0.9,0.15447857154640737,0.21331092234175483
S2,Mx,1.2,0.16148168544836516,0.18210370110781732
S2,My,0.1,0.11819060159074808,1.0685298202730744
S2,My,0.2,0.11444107871997264,0.6266473817957755
S2,My,0.3,0.1167473166110552,0.46857495061181315
S2,My,0.45,0.12157581488544986,0.3567408548511966
S2,My,0.65,0.11647799482877895,0.283219196763171
S2,My,0.9,0.11193804675827101,0.2340145996656647
S2,My,1.2,0.1220682644565942,0.1997536502292377
S2,My,0.1,0.11197006410539503,1.0685298202730744
S2,My,0.2,0.11801142822657489,0.6266473817957755
S2,My,0.3,0.11873748253734764,0.46857495061181315
S2,My,0.45,0.11599299865968724,0.3567408548511966
S2,My,0.65,0.12721458370707925,0.283219196763171
S2,My,0.9,0.12096144636126939,0.2340145996656647
S2,My,1.2,0.12417596078821001,0.1997536502292377
S3,Mx,0.1,0.11478237109890269,0.9360096408333649
S3,Mx,0.2,0.1086151763171955,0.5486445589870176
S3,Mx,0.3,0.11509099511359139,0.4101829964429047
S3,Mx,0.45,0.1240160462176803,0.31229579329721985
S3,Mx,0.65,0.11874736057510092,0.2479990176090457
S3,Mx,0.9,0.10909744978815991,0.20500786166004448
S3,Mx,1.2,0.12886667602264706,0.17510094131085435
S3,Mx,0.1,0.1187329228890211,0.9360096408333649
S3,Mx,0.2,0.11677338436327188,0.5486445589870176
S3,Mx,0.3,0.11517840615511676,0.4101829964429047
S3,Mx,0.45,0.11688503506176741,0.31229579329721985
S3,Mx,0.65,0.09870284142464557,0.2479990176090457
S3,Mx,0.9,0.10508691253300322,0.20500786166004448
S3,Mx,1.2,0.12043554714644235,0.17510094131085435
S3,My,0.1,0.11537786714187892,1.1438507027225298
S3,My,0.2,0.11415646982102173,0.6704052329254235
S3,My,0.3,0.11634014239967211,0.5010419137997495
S3,My,0.45,0.11387390273331893,0.38121966834194615
S3,My,0.65,0.12227363570874296,0.30244646324763286
S3,My,0.9,0.12033240205311474,0.24972725207173332
S3,My,1.2,0.11833988642639443,0.21301909196127575
S3,My,0.1,0.11863795078873046,1.1438507027225298
S3,My,0.2,0.11381377068810956,0.6704052329254235
S3,My,0.3,0.11513908416022967,0.5010419137997495
S3,My,0.45,0.11507182534009036,0.38121966834194615
S3,My,0.65,0.10389577436695625,0.30244646324763286
S3,My,0.9,0.12431826965438682,0.24972725207173332
S3,My,1.2,0.12157560578544638,0.21301909196127575
S4,Mx,0.1,0.11237398020116013,1.0562668810315379
S4,Mx,0.2,0.11381480528477496,0.6183759189443627
S4,Mx,0.3,0.11501448925520869,0.461854152590148
S4,Mx,0.45,0.11639555032216047,0.35119905338198265
S4,Mx,0.65,0.12164505626174107,0.2785157417344814
S4,Mx,0.9,0.09974035085085742,0.22991704370517566
S4,Mx,1.2,0.11609129149228768,0.19610922070174336
S4,Mx,0.1,0.11731923789470118,1.0562668810315379
S4,Mx,0.2,0.11341243077058233,0.6183759189443627
S4,Mx,0.3,0.11926378799302834,0.461854152590148
S4,Mx,0.45,0.11544274580020632,0.35119905338198265
S4,Mx,0.65,0.12142570450504227,0.2785157417344814
S4,Mx,0.9,0.12749912830049162,0.22991704370517566
S4,Mx,1.2,0.10649375309866797,0.19610922070174336
S4,My,0.1,0.11490735191867718,1.2191715851719844
S4,My,0.2,0.1144052303755842,0.7141630840550713
S4,My,0.3,0.11181139638235794,0.5335088769876858
S4,My,0.45,0.1183246361712065,0.4056984818326955
S4,My,0.65,0.11837528618948463,0.32167372973209474
S4,My,0.9,0.11515452147002612,0.2654399044778018
S4,My,1.2,0.12074257099927214,0.22628453369331375
S4,My,0.1,0.1173803194962165,1.2191715851719844
S4,My,0.2,0.11422797063111345,0.7141630840550713
S4,My,0.3,0.11337005953666415,0.5335088769876858
S4,My,0.45,0.10757284730732589,0.4056984818326955
S4,My,0.65,0.11349189210795499,0.32167372973209474
S4,My,0.9,0.12093121343476033,0.2654399044778018
S4,My,1.2,0.12697999419218492,0.22628453369331375
S5,Mx,0.1,0.11795384642115599,1.0562668810315379
S5,Mx,0.2,0.11467012778658424,0.6183759189443627
S5,Mx,0.3,0.12092347002155938,0.461854152590148
S5,Mx,0.45,0.1257690918017775,0.35119905338198265
S5,Mx,0.65,0.12019906808695069,0.2785157417344814
S5,Mx,0.9,0.11451774989832647,0.22991704370517566
S5,Mx,1.2,0.11994311796826129,0.19610922070174336
S5,Mx,0.1,0.10969942388527786,1.0562668810315379
S5,Mx,0.2,0.1210756255487396,0.6183759189443627
S5,Mx,0.3,0.1065736375367147,0.461854152590148
S5,Mx,0.45,0.11621212218567521,0.35119905338198265
S5,Mx,0.65,0.12268837878766677,0.2785157417344814
S5,Mx,0.9,0.12574297922692304,0.22991704370517566
S5,Mx,1.2,0.1223978576378549,0.19610922070174336
S5,My,0.1,0.11848788938587429,1.2191715851719844
S5,My,0.2,0.11609210387883387,0.7141630840550713
S5,My,0.3,0.11068859168167837,0.5335088769876858
S5,My,0.45,0.11658593440769228,0.4056984818326955
S5,My,0.65,0.12100409457548929,0.32167372973209474
S5,My,0.9,0.11606258924017032,0.2654399044778018
S5,My,1.2,0.11852909993772323,0.22628453369331375
S5,My,0.1,0.11923995528153508,1.2191715851719844
S5,My,0.2,0.11668206552497849,0.7141630840550713
S5,My,0.3,0.1116646114623672,0.5335088769876858
S5,My,0.45,0.11073358678466609,0.4056984818326955
S5,My,0.65,0.10962582563728543,0.32167372973209474
S5,My,0.9,0.09777570912344721,0.2654399044778018
S5,My,1.2,0.10641554316785534,0.22628453369331375
S6,Mx,0.1,0.1168581100112413,1.0562668810315379
S6,Mx,0.2,0.1140286696173228,0.6183759189443627
S6,Mx,0.3,0.10566854903467966,0.461854152590148
S6,Mx,0.45,0.12035634641351617,0.35119905338198265
S6,Mx,0.65,0.1120514707634964,0.2785157417344814
S6,Mx,0.9,0.11748805757733136,0.22991704370517566
S6,Mx,1.2,0.11280827364757301,0.19610922070174336
S6,Mx,0.1,0.11416590858823623,1.0562668810315379
S6,Mx,0.2,0.11566751935800659,0.6183759189443627
S6,Mx,0.3,0.11776225547249257,0.461854152590148
S6,Mx,0.45,0.12207514672692364,0.35119905338198265
S6,Mx,0.65,0.12332233456144394,0.2785157417344814
S6,Mx,0.9,0.11003703741245956,0.22991704370517566
S6,Mx,1.2,0.1198096764288823,0.19610922070174336
S6,My,0.1,0.11093577356245213,1.2191715851719844
S6,My,0.2,0.11639117888804548,0.7141630840550713
S6,My,0.3,0.11056146875699308,0.5335088769876858
S6,My,0.45,0.12135764133919992,0.4056984818326955
S6,My,0.65,0.12086045831592632,0.32167372973209474
S6,My,0.9,0.11052738058837865,0.2654399044778018
S6,My,1.2,0.12171852056269282,0.22628453369331375
S6,My,0.1,0.1152142013875534,1.2191715851719844
S6,My,0.2,0.11259174410084163,0.7141630840550713
S6,My,0.3,0.11245344213461565,0.5335088769876858
S6,My,0.45,0.11573804012106685,0.4056984818326955
S6,My,0.65,0.1192261053747905,0.32167372973209474
S6,My,0.9,0.10789798757408713,0.2654399044778018
S6,My,1.2,0.119467486349074,0.22628453369331375
S7,Mx,0.1,0.11550019357660359,1.0562668810315379
S7,Mx,0.2,0.11499142901425884,0.6183759189443627
S7,Mx,0.3,0.1153093337188738,0.461854152590148
S7,Mx,0.45,0.11367048650446637,0.35119905338198265
S7,Mx,0.65,0.11460291037199213,0.2785157417344814
S7,Mx,0.9,0.12197330845647587,0.22991704370517566
S7,Mx,1.2,0.09624383901889123,0.19610922070174336
S7,Mx,0.1,0.11276701679365943,1.0562668810315379
S7,Mx,0.2,0.1168048487203425,0.6183759189443627
S7,Mx,0.3,0.11089441079292378,0.461854152590148
S7,Mx,0.45,0.10895565015511016,0.35119905338198265
S7,Mx,0.65,0.11589337026378524,0.2785157417344814
S7,Mx,0.9,0.12708162029063963,0.22991704370517566
S7,Mx,1.2,0.11862948429210533,0.19610922070174336
S7,My,0.1,0.11947612993632667,1.2191715851719844
S7,My,0.2,0.10772785568750341,0.7141630840550713
S7,My,0.3,0.1160700129567694,0.5335088769876858
S7,My,0.45,0.11378098406663312,0.4056984818326955
S7,My,0.65,0.11619914185546514,0.32167372973209474
S7,My,0.9,0.11896881060980564,0.2654399044778018
S7,My,1.2,0.12343464163629826,0.22628453369331375
S7,My,0.1,0.11538540065519809,1.2191715851719844
S7,My,0.2,0.11080258195049432,0.7141630840550713
S7,My,0.3,0.11528281152790201,0.5335088769876858
S7,My,0.45,0.11330789454399544,0.4056984818326955
S7,My,0.65,0.11145377859660655,0.32167372973209474
S7,My,0.9,0.11855290575807387,0.2654399044778018
S7,My,1.2,0.12458343834542475,0.22628453369331375
S8,Mx,0.1,0.12454274915554149,1.0963526277642623
S8,Mx,0.2,0.11540921151213643,0.6416197055968111
S8,Mx,0.3,0.10647212587662908,0.47907787130589585
S8,Mx,0.45,0.1202960666044432,0.3641668067435702
S8,Mx,0.65,0.12187863825696352,0.2886879831096267
S8,Mx,0.9,0.13823552221338944,0.23822010438688607
S8,Mx,1.2,0.11583264303220606,0.20311198049870638
S8,Mx,0.1,0.11524402231862273,1.0963526277642623
S8,Mx,0.2,0.11442152541772872,0.6416197055968111
S8,Mx,0.3,0.12132262680795552,0.47907787130589585
S8,Mx,0.45,0.11599237992763381,0.3641668067435702
S8,Mx,0.65,0.12036395607313166,0.2886879831096267
S8,Mx,0.9,0.12250965861592805,0.23822010438688607
S8,Mx,1.2,0.12437859403385154,0.20311198049870638
S8,My,0.1,0.11375748999212923,1.2568320263967119
S8,My,0.2,0.11324428440799393,0.7360420096198953
S8,My,0.3,0.11053097604752336,0.549742358581654
S8,My,0.45,0.11414222764721028,0.41793788857807024
S8,My,0.65,0.11433432215706943,0.3312873629743257
S8,My,0.9,0.1116889743654559,0.273296230680836
S8,My,1.2,0.11660552801396297,0.2329172545593328
S8,My,0.1,0.11818739018619376,1.2568320263967119
S8,My,0.2,0.11934628778964983,0.7360420096198953
S8,My,0.3,0.10929720550449516,0.549742358581654
S8,My,0.45,0.12162838873642771,0.41793788857807024
S8,My,0.65,0.13206407362423572,0.3312873629743257
S8,My,0.9,0.11174772971420244,0.273296230680836
S8,My,1.2,0.11565602307538135,0.2329172545593328
S9,Mx,0.1,0.11556924585783021,1.1524726731900765
S9,Mx,0.2,0.17733694651616763,0.6741610069102388
S9,Mx,0.3,0.18514236165171558,0.5031910775079428
S9,Mx,0.45,0.169328274570459,0.3823216614497929
S9,Mx,0.65,0.2806485178400347,0.30292912103483
S9,Mx,0.9,0.22719564008485804,0.24984438934128064
S9,Mx,1.2,0.14220724337989002,0.21291584421445459
S9,Mx,0.1,0.11838072637227824,1.1524726731900765
S9,Mx,0.2,0.11563968410188469,0.6741610069102388
S9,Mx,0.3,0.11830500782935312,0.5031910775079428
S9,Mx,0.45,0.12302069638642855,0.3823216614497929
S9,Mx,0.65,0.12213142011970936,0.30292912103483
S9,Mx,0.9,0.11559325318560712,0.24984438934128064
S9,Mx,1.2,0.1090632900273423,0.21291584421445459
S9,My,0.1,0.11704537232931209,1.3095566441113302
S9,My,0.2,0.11599906801523625,0.7666725054106488
S9,My,0.3,0.1261888942898948,0.5724692328132094
S9,My,0.45,0.12437881469712311,0.4350730580215948
S9,My,0.65,0.13602562181861422,0.3447464495134489
S9,My,0.9,0.1453564401421703,0.284295087365084
S9,My,1.2,0.14255305600328155,0.24220306377175935
S9,My,0.1,0.11603305618915062,1.3095566441113302
S9,My,0.2,0.12445899967941285,0.7666725054106488
S9,My,0.3,0.14539338081616723,0.5724692328132094
S9,My,0.45,0.14034637266929423,0.4350730580215948
S9,My,0.65,0.14172611391037987,0.3447464495134489
S9,My,0.9,0.17898108862220735,0.284295087365084
S9,My,1.2,0.18578083675031506,0.24220306377175935
S11,Mx,0.1,0.11853658693173667,1.0081639849522686
S11,Mx,0.2,0.11420384195635667,0.5904833749614246
S11,Mx,0.3,0.12417465171800103,0.4411856901312506
S11,Mx,0.45,0.11673650762070491,0.33563774934807744
S11,Mx,0.65,0.11102511021664781,0.2663090520843071
S11,Mx,0.9,0.12210540023105021,0.21995337088712316
S11,Mx,1.2,0.10880552361471169,0.18770590894538772
S11,Mx,0.1,0.11388653362312652,1.0081639849522686
S11,Mx,0.2,0.11533644225412878,0.5904833749614246
S11,Mx,0.3,0.12136300714352005,0.4411856901312506
S11,Mx,0.45,0.11959160312580558,0.33563774934807744
S11,Mx,0.65,0.12011449676104984,0.2663090520843071
S11,Mx,0.9,0.12536274892125288,0.21995337088712316
S11,Mx,1.2,0.12273870450119946,0.18770590894538772
S11,My,0.1,0.11309952531150068,1.354749173581003
S11,My,0.2,0.11728481203793689,0.7929272160884374
S11,My,0.3,0.1129373987470295,0.5919494107259711
S11,My,0.45,0.11689960217919318,0.4497603461160444
S11,My,0.65,0.11212085738783306,0.35628280940412604
S11,My,0.9,0.11105866554875461,0.2937226788087251
S11,My,1.2,0.1166365918592095,0.25016232881098227
S11,My,0.1,0.10757493994595421,1.354749173581003
S11,My,0.2,0.0999697690635049,0.7929272160884374
S11,My,0.3,0.10993740608177884,0.5919494107259711
S11,My,0.45,0.13192001351660163,0.4497603461160444
S11,My,0.65,0.13829242597906424,0.35628280940412604
S11,My,0.9,0.1269123871651773,0.2937226788087251
S11,My,1.2,0.39644521592705884,0.25016232881098227
S13,Mx,0.1,0.11762615320106591,1.1484039812933386
S13,Mx,0.2,0.10694923614530742,0.669917678200801
S13,Mx,0.3,0.11864533831347399,0.4990859977508093
S13,Mx,0.45,0.11085004335795133,0.3784482271435797
S13,Mx,0.65,0.11266716882212831,0.2993113550194512
S13,Mx,0.9,0.11155555357614563,0.24647106355997334
S13,Mx,1.2,0.10761674937644208,0.2097638707963559
S13,Mx,0.1,0.11679389858782621,1.1484039812933386
S13,Mx,0.2,0.11404991383579785,0.669917678200801
S13,Mx,0.3,0.111659759538241,0.4990859977508093
S13,Mx,0.45,0.11396258645956758,0.3784482271435797
S13,Mx,0.65,0.1260566545527637,0.2993113550194512
S13,Mx,0.9,0.12124638739567473,0.24647106355997334
S13,Mx,1.2,0.104214573680779,0.2097638707963559
S13,My,0.1,0.11480352532668513,1.315734840038305
S13,My,0.2,0.11633959924786773,0.7680820033020149
S13,My,0.3,0.11736370260842068,0.5724060660609079
S13,My,0.45,0.11321568139258141,0.43412355613130843
S13,My,0.65,0.12057251720580166,0.3433343735513719
S13,My,0.9,0.1199839398149025,0.28265858394000165
S13,My,1.2,0.11459197163942865,0.24046964111287056
S13,My,0.1,0.1218497476957953,1.315734840038305
S13,My,0.2,0.11529228198269054,0.7680820033020149
S13,My,0.3,0.11296967991629599,0.5724060660609079
S13,My,0.45,0.11966392588638877,0.43412355613130843
S13,My,0.65,0.1199025708323104,0.3433343735513719
S13,My,0.9,0.12297648594363066,0.28265858394000165
S13,My,1.2,0.12254980923162513,0.24046964111287056
