case,tx,ty,m,xh,yh,ex,ey,cvmax
S1,-6.0,0.0,3.066,-6.007446570663944,-0.11295714738823716,-0.007446570663944385,-0.11295714738823716,0.7671654937027437
S2,0.0,10.0,3.066,-0.0053143192957767595,10.001943923843879,-0.0053143192957767595,0.0019439238438785367,0.8551259312917537
S3,10.0,-5.0,3.066,10.023078053221425,-5.0531836476550165,0.02307805322142542,-0.053183647655016486,1.0408280666807614
S4,20.0,20.0,3.066,20.18517855462443,20.192310121028864,0.18517855462442867,0.19231012102886424,2.4251908398186512
S5,20.0,-20.0,3.066,20.21803759920167,-20.15709812122461,0.21803759920166854,-0.1570981212246103,3.449691941295837
S6,-20.0,20.0,3.066,-20.259532567545378,20.088516549686837,-0.2595325675453779,0.08851654968683675,2.926296098278834
S7,-20.0,-20.0,3.066,-20.207635264179228,-20.244022151211684,-0.20763526417922762,-0.24402215121168425,2.395311892084087
S8,25.0,25.0,3.066,25.21869323693101,25.204313290392417,0.21869323693100995,0.20431329039241675,2.098421328063966
S9,32.0,32.0,3.066,32.37146578482996,32.088338656345606,0.37146578482995807,0.08833865634560567,50.63440407978616
S11,38.0,14.0,3.066,38.13018403531345,14.217227597561257,0.13018403531344802,0.21722759756125676,29.994875951949513
S13,25.0,25.0,3.22,25.35050574650116,25.231838252175194,0.3505057465011596,0.23183825217519427,1.8120718097701607
