rate,res,cap
0.1,0.3025,0.5737
0.1,0.5103,0.5737
0.1,0.4641,0.7634
0.1,0.4630,0.7634
0.1,0.5761,0.6323
0.1,0.2925,0.6323
0.1,0.6026,0.7268
0.1,0.5754,0.7268
0.1,0.5093,0.6027
0.1,0.3539,0.6027
0.1,0.4117,0.7882
0.1,0.3842,0.7882
0.1,0.4892,0.6928
0.1,0.3530,0.6928
0.1,0.3712,0.8515
0.1,0.3472,0.8515
0.1,0.5953,0.6928
0.1,0.4304,0.6928
0.1,0.6892,0.8515
0.1,0.5362,0.8515
0.1,0.6069,0.6928
0.1,0.6548,0.6928
0.1,0.5741,0.8515
0.1,0.4371,0.8515
0.1,0.4970,0.6928
0.1,0.4936,0.6928
0.1,0.5852,0.8515
0.1,0.5935,0.8515
0.1,0.5844,0.7237
0.1,0.1681,0.7237
0.1,0.5197,0.8839
0.1,0.5730,0.8839
0.1,0.1658,0.7680
0.1,0.3724,0.7680
0.1,0.6058,0.9300
0.1,0.5384,0.9300
0.1,0.4422,0.6562
0.1,0.4722,0.6562
0.1,0.4898,0.9703
0.1,0.4753,0.9703
0.1,0.1881,0.7312
0.1,0.6722,0.7312
0.1,0.4927,0.8951
0.1,0.4922,0.8951
0.2,0.2423,0.5940
0.2,0.3269,0.5940
0.2,0.3657,0.7571
0.2,0.3866,0.7571
0.2,0.3547,0.6450
0.2,0.2454,0.6450
0.2,0.4758,0.7264
0.2,0.3042,0.7264
0.2,0.3194,0.6194
0.2,0.4295,0.6194
0.2,0.3881,0.7777
0.2,0.2980,0.7777
0.2,0.3948,0.6968
0.2,0.3055,0.6968
0.2,0.3192,0.8298
0.2,0.2663,0.8298
0.2,0.3384,0.6968
0.2,0.3644,0.6968
0.2,0.4213,0.8298
0.2,0.3146,0.8298
0.2,0.3324,0.6968
0.2,0.3797,0.6968
0.2,0.3870,0.8298
0.2,0.4270,0.8298
0.2,0.1604,0.6968
0.2,0.2396,0.6968
0.2,0.3027,0.8298
0.2,0.1413,0.8298
0.2,0.3650,0.7230
0.2,0.3072,0.7230
0.2,0.3887,0.8561
0.2,0.3577,0.8561
0.2,0.5525,0.7600
0.2,0.4034,0.7600
0.2,0.3413,0.8934
0.2,0.4831,0.8934
0.2,0.3424,0.6657
0.2,0.2396,0.6657
0.2,0.3114,0.9256
0.2,0.2687,0.9256
0.2,0.2889,0.7224
0.2,0.3037,0.7224
0.2,0.3641,0.8568
0.2,0.3149,0.8568
0.3,0.2173,0.6401
0.3,0.1259,0.6401
0.3,0.2296,0.8009
0.3,0.2557,0.8009
0.3,0.2034,0.6908
0.3,0.2269,0.6908
0.3,0.1653,0.7711
0.3,0.1937,0.7711
0.3,0.2472,0.6654
0.3,0.1282,0.6654
0.3,0.1931,0.8209
0.3,0.1606,0.8209
0.3,0.2370,0.7417
0.3,0.3002,0.7417
0.3,0.2327,0.8711
0.3,0.1823,0.8711
0.3,0.1760,0.7417
0.3,0.1152,0.7417
0.3,0.1977,0.8711
0.3,0.2265,0.8711
0.3,0.1817,0.7417
0.3,0.1827,0.7417
0.3,0.1968,0.8711
0.3,0.1935,0.8711
0.3,0.2279,0.7417
0.3,0.1623,0.7417
0.3,0.1802,0.8711
0.3,0.2172,0.8711
0.3,0.2362,0.7672
0.3,0.1824,0.7672
0.3,0.1571,0.8964
0.3,0.2542,0.8964
0.3,0.1855,0.8032
0.3,0.1789,0.8032
0.3,0.3529,0.9319
0.3,0.2767,0.9319
0.3,0.1744,0.7111
0.3,0.2399,0.7111
0.3,0.1815,0.9625
0.3,0.1367,0.9625
0.3,0.2624,0.7627
0.3,0.1266,0.7627
0.3,0.1681,0.8922
0.3,0.2190,0.8922
0.45,0.1355,0.7123
0.45,0.1352,0.7123
0.45,0.1780,0.8782
0.45,0.1761,0.8782
0.45,0.1824,0.7647
0.45,0.1471,0.7647
0.45,0.1407,0.8478
0.45,0.1308,0.8478
0.45,0.1246,0.7385
0.45,0.1199,0.7385
0.45,0.1163,0.8986
0.45,0.1389,0.8986
0.45,0.1180,0.8171
0.45,0.1197,0.8171
0.45,0.1187,0.9494
0.45,0.1080,0.9494
0.45,0.1275,0.8171
0.45,0.1179,0.8171
0.45,0.1223,0.9494
0.45,0.1141,0.9494
0.45,0.1266,0.8171
0.45,0.1225,0.8171
0.45,0.1354,0.9494
0.45,0.1337,0.9494
0.45,0.1219,0.8171
0.45,0.1088,0.8171
0.45,0.1175,0.9494
0.45,0.1342,0.9494
0.45,0.1227,0.8432
0.45,0.1224,0.8432
0.45,0.1265,0.9749
0.45,0.1400,0.9749
0.45,0.1875,0.8799
0.45,0.1236,0.8799
0.45,0.1643,1.0105
0.45,0.3177,1.0105
0.45,0.1560,0.7856
0.45,0.1202,0.7856
0.45,0.1260,1.0412
0.45,0.2329,1.0412
0.45,0.1260,0.8347
0.45,0.1351,0.8347
0.45,0.1357,0.9659
0.45,0.1252,0.9659
0.65,0.1156,0.8030
0.65,0.1252,0.8030
0.65,0.1639,0.9797
0.65,0.1672,0.9797
0.65,0.1381,0.8590
0.65,0.1677,0.8590
0.65,0.1277,0.9476
0.65,0.1280,0.9476
0.65,0.1309,0.8311
0.65,0.1079,0.8311
0.65,0.1252,1.0011
0.65,0.1045,1.0011
0.65,0.1217,0.9145
0.65,0.1273,0.9145
0.65,0.1214,1.0544
0.65,0.1136,1.0544
0.65,0.1313,0.9145
0.65,0.1398,0.9145
0.65,0.1216,1.0544
0.65,0.1168,1.0544
0.65,0.1134,0.9145
0.65,0.1314,0.9145
0.65,0.1224,1.0544
0.65,0.1267,1.0544
0.65,0.1607,0.9145
0.65,0.1221,0.9145
0.65,0.1385,1.0544
0.65,0.1179,1.0544
0.65,0.1218,0.9422
0.65,0.1487,0.9422
0.65,0.1149,1.0810
0.65,0.1344,1.0810
0.65,0.2847,0.9808
0.65,0.1238,0.9808
0.65,0.1955,1.1182
0.65,0.2107,1.1182
0.65,0.1111,0.8812
0.65,0.1288,0.8812
0.65,0.1136,1.1501
0.65,0.1981,1.1501
0.65,0.1224,0.9296
0.65,0.1356,0.9296
0.65,0.1236,1.0675
0.65,0.1442,1.0675
0.9,0.1079,0.9071
0.9,0.1166,0.9071
0.9,0.1724,1.0980
0.9,0.1659,1.0980
0.9,0.1790,0.9675
0.9,0.1547,0.9675
0.9,0.1166,1.0635
0.9,0.1234,1.0635
0.9,0.1217,0.9374
0.9,0.1052,0.9374
0.9,0.1296,1.1209
0.9,0.1306,1.1209
0.9,0.1043,1.0274
0.9,0.1284,1.0274
0.9,0.1203,1.1778
0.9,0.1237,1.1778
