case,ax,rate,de,res,cap
S1,Mx,0.1,0.03742977543858645,0.3025312121947192,0.3722483765680837
S1,Mx,0.2,0.06379904805339481,0.24229515473851557,0.39861764918289205
S1,Mx,0.3,0.07893213052534719,0.21729128249708876,0.41375073165484444
S1,Mx,0.45,0.09956449053832789,0.13550475734998335,0.4343830916678251
S1,Mx,0.65,0.10659938598761158,0.11562185964317889,0.44141798711710883
S1,Mx,0.9,0.11396069645704593,0.10787847870444,0.44877929758654317
S1,Mx,1.2,0.12653625190762868,0.13574232043504245,0.4613548530371259
S1,Mx,0.1,0.041876856156131986,0.5102932391537282,0.37669545728562925
S1,Mx,0.2,0.06413629428941925,0.3269196680247855,0.3989548954189165
S1,Mx,0.3,0.07933880596333885,0.1259141216514131,0.4141574070928361
S1,Mx,0.45,0.09948806665554506,0.13522574144584748,0.4343066677850423
S1,Mx,0.65,0.11183400188269821,0.1252440363689483,0.44665260301219545
S1,Mx,0.9,0.11509650394294879,0.11661629983240708,0.44991510507244603
S1,Mx,1.2,0.1254571177934936,0.11602138866163023,0.46027571892299085
S1,My,0.1,0.052713301987047344,0.4641358025030535,0.38753190311654456
S1,My,0.2,0.08892184639265087,0.3656541169049782,0.4237404475221481
S1,My,0.3,0.10466858905519079,0.22964919588891203,0.439487190184688
S1,My,0.45,0.13257777316403982,0.17798148352041893,0.4673963742935371
S1,My,0.65,0.15924870479539371,0.16388360955305767,0.49406730592489095
S1,My,0.9,0.10255420655721252,0.17242934564467033,0.4373728076867098
S1,My,1.2,0.15077771706031587,0.1844713623815531,0.4855963181898131
S1,My,0.1,0.05829205592275027,0.4630307302929477,0.3931106570522475
S1,My,0.2,0.08028300215881996,0.3865633202997354,0.4151016032883172
S1,My,0.3,0.11778020540910512,0.2556918464006395,0.45259880653860235
S1,My,0.45,0.13977656577523614,0.1761198661631554,0.47459516690473336
S1,My,0.65,0.1506753782733136,0.16718431572964598,0.4854939794028108
S1,My,0.9,0.1549356522872539,0.1658558182246895,0.48975425341675116
S1,My,1.2,0.17193722317403926,0.20170278028065367,0.5067558243035365
S2,Mx,0.1,0.045403375488041534,0.576126559689801,0.38022197661753876
S2,Mx,0.2,0.07005541185330921,0.3547240624385537,0.40487401298280645
S2,Mx,0.3,0.08704269112466265,0.2033977801823346,0.4218612922541599
S2,Mx,0.45,0.11451013444758161,0.1824185334582626,0.44932873557707886
S2,Mx,0.65,0.1162871979240281,0.13814665899140757,0.4511057990535253
S2,Mx,0.9,0.12503373041625737,0.1789968488424254,0.4598523315457546
S2,Mx,1.2,0.137861143430607,0.1593198724298269,0.47267974456010425
S2,Mx,0.1,0.0436253529061063,0.2924578385738669,0.37844395403560355
S2,Mx,0.2,0.069846858355945,0.24540585500087916,0.40466545948544225
S2,Mx,0.3,0.09713915359432425,0.2268531455039,0.4319577547238215
S2,Mx,0.45,0.11474170420985713,0.14710650134337136,0.44956030533935437
S2,Mx,0.65,0.14894599739576617,0.16765718606014074,0.48376459852526343
S2,Mx,0.9,0.11080974881501797,0.15470572858115872,0.4456283499445152
S2,Mx,1.2,0.1469037436727946,0.17592696416992484,0.4817223448022918
