case,ax,rate,cap,res
S1,Mx,0.1,0.16353796379985527,0.1898299848264246
S1,Mx,0.2,0.17754326863752048,0.26413348458579017
S1,Mx,0.3,0.14142115419046575,0.2601048100213158
S1,Mx,0.45,0.1777497734177471,0.29936334908457934
S1,Mx,0.65,0.1528978542990351,0.2948222214346779
S1,Mx,0.9,0.16322651783004768,0.30778230913134724
S1,Mx,1.2,0.18579722019200523,0.33948036480302074
S1,Mx,0.1,0.1545363527845615,0.24979654521299388
S1,Mx,0.2,0.19278109400044954,0.2557961274965992
S1,Mx,0.3,0.16997075525470612,0.28959958530440083
S1,Mx,0.45,0.1737867473349402,0.2863299953600122
S1,Mx,0.65,0.15220504825850556,0.28189778468151416
S1,Mx,0.9,0.142771414602019,0.28252657259560104
S1,Mx,1.2,0.16083882813665634,0.3148017305903986
S1,My,0.1,0.22843908121047427,0.2770263902105879
S1,My,0.2,0.23860009135271248,0.32431968309281506
S1,My,0.3,0.25122382213463107,0.29951060899328735
S1,My,0.45,0.26772988213470517,0.3257239873540781
S1,My,0.65,0.27793849111765667,0.3948784953438428
S1,My,0.9,0.30372135345480633,0.2512070295253575
S1,My,1.2,0.29636196901067074,0.39461087686413343
S1,My,0.1,0.2390433145612759,0.3007969096188702
S1,My,0.2,0.2800194983968434,0.3516735930085655
S1,My,0.3,0.26977164666366926,0.38165228126749323
S1,My,0.45,0.27536542218339755,0.3732523720420617
S1,My,0.65,0.32505257118599434,0.3985073942661674
S1,My,0.9,0.2684278585767001,0.4212779475909601
S1,My,1.2,0.2995277985103897,0.44286043138921405
S2,Mx,0.1,0.23830332127183543,0.28648795322835463
S2,Mx,0.2,0.20253704124518232,0.2908767336650744
S2,Mx,0.3,0.22942036357022866,0.3097290445444671
S2,Mx,0.45,0.23232325619021674,0.30531487770175114
S2,Mx,0.65,0.22161872061934101,0.30867879295444717
S2,Mx,0.9,0.23995250710213956,0.36594965345496433
S2,Mx,1.2,0.20745357851750984,0.3340920452622093
S2,Mx,0.1,0.23809032180933024,0.26986526762904556
S2,Mx,0.2,0.28144847112070964,0.3363838899491339
S2,Mx,0.3,0.2374363608545597,0.3552100229166559
S2,Mx,0.45,0.2438201934090208,0.3736968714344665
S2,Mx,0.65,0.276854133211644,0.4037141607707928
S2,Mx,0.9,0.2892887724588828,0.3885968824192177
S2,Mx,1.2,0.2649994200341947,0.44047105433762235
S2,My,0.1,0.1806830862147935,0.23891949511086105
S2,My,0.2,0.20867423158591936,0.27925446523156644
S2,My,0.3,0.1814901712827555,0.28865745654235986
S2,My,0.45,0.18175137222024648,0.306950282594425
S2,My,0.65,0.18557765713609742,0.3297903856822307
S2,My,0.9,0.15990680885654784,0.310705345420808
S2,My,1.2,0.16690655624518236,0.3184218254829579
S2,My,0.1,0.17615200209385837,0.25504449167395526
S2,My,0.2,0.18774798568095652,0.23616590207586152
S2,My,0.3,0.18824842297194422,0.25319941324730855
S2,My,0.45,0.19258087228109058,0.2774402253425517
S2,My,0.65,0.18659564984948804,0.30351039255831735
S2,My,0.9,0.16867247679246936,0.3139416163312657
S2,My,1.2,0.1899948142178405,0.32741536748722955
S3,Mx,0.1,0.16995699204435916,0.24193946459771215
S3,Mx,0.2,0.1605204170216903,0.2944607129748911
S3,Mx,0.3,0.18192376584083672,0.31221490492397913
S3,Mx,0.45,0.16978802096712461,0.29732349437595523
S3,Mx,0.65,0.20507665627133848,0.32838702230228883
S3,Mx,0.9,0.18450971495029017,0.3590761519519346
S3,Mx,1.2,0.19580945662175722,0.3946486917895369
S3,Mx,0.1,0.17821386386735402,0.22324003505547108
S3,Mx,0.2,0.16360144608405822,0.25972127917441457
S3,Mx,0.3,0.15647831223102512,0.21998058045015212
S3,Mx,0.45,0.15967439913604003,0.28379128483354715
S3,Mx,0.65,0.1613589596412998,0.29965885621459765
S3,Mx,0.9,0.13237733661947396,0.3090279580814912
S3,Mx,1.2,0.18536514994888761,0.33138709720033105
S3,My,0.1,0.19631994949550796,0.24052907480282407
S3,My,0.2,0.18595060144852443,0.30743590783831864
S3,My,0.3,0.18057895276537916,0.2672491537037724
S3,My,0.45,0.18140683869709692,0.3173840237940537
S3,My,0.65,0.1879954359390631,0.3095462073846917
