bag,dir,lp_mm,dphi_deg,int_dyn,int_mod,slope_dyn,slope_mod,a_rate_mm_per_deg,case,axis,z_com,j_p
neg_Mx_01,neg,106.34554219184277,5.226413569842806,-19.614054767286397,172.0153999479695,-27.427853155488883,-2.971474955884558,0.81311314850404,case_01,Mx,0.256,0.312111976
neg_Mx_02,neg,139.22733964466892,5.655715896578895,279.4592970024055,173.8417819757453,-32.61503046273392,-2.7121883155315487,0.9941943949789102,case_01,Mx,0.256,0.312111976
neg_Mx_03,neg,136.691809615961,5.29244296085705,342.7815533273026,171.94647739896047,-85.13386952196399,-2.2091466406768614,2.757038755310028,case_01,Mx,0.256,0.312111976
neg_Mx_045,neg,146.81356702009805,7.005795693048877,472.7434795809903,171.6223340434822,-41.19171353246547,-2.00762874399472,1.3027724012755981,case_01,Mx,0.256,0.312111976
neg_Mx_065,neg,159.73612622013252,6.94258177763618,550.8285126878635,173.6904606419664,-1.2161474825284457,-1.6808570807489385,-0.015450426938328321,case_01,Mx,0.256,0.312111976
neg_Mx_090,neg,152.7456815699715,8.201455896878969,516.7469385427602,175.76427819603603,-44.39154619127433,-1.295561732027689,1.432833239882844,case_01,Mx,0.256,0.312111976
pos_Mx_01,pos,139.84966972544194,5.559021828327797,318.53761718536276,162.97463424924197,-31.987678632270903,-2.9047960303930527,0.966932799574095,case_01,Mx,0.256,0.312111976
pos_Mx_02,pos,137.7933006935978,5.147408758038242,257.6108729505692,164.98625044661912,-30.456788914212197,-2.379783299814595,0.9334899161830021,case_01,Mx,0.256,0.312111976
pos_Mx_03,pos,139.1510164384019,5.94989616172443,190.42818429603736,171.27549261071482,-44.34967540081564,-2.3946122039589595,1.394900473539211,case_01,Mx,0.256,0.312111976
pos_Mx_045,pos,139.15949461817735,5.117521481471268,244.39352599042385,165.42044631885065,-41.61909823346767,-1.5314168152399203,1.3328147196680753,case_01,Mx,0.256,0.312111976
pos_Mx_065,pos,139.93605424649877,5.671139587779197,323.4660435963223,165.8394200832991,-47.62340547902315,-1.1906599709952352,1.5437721638738087,case_01,Mx,0.256,0.312111976
pos_Mx_090,pos,139.52911705918788,5.649202532298589,316.06565027202356,165.0415305246204,-41.06587338436337,-0.708183195661232,1.341791833110314,case_01,Mx,0.256,0.312111976
pos_Mx_120,pos,140.02035062157321,5.876511605645554,310.277310654675,168.36149807949366,-33.20418771462917,-0.18202315315625753,1.09790403050899,case_01,Mx,0.256,0.312111976
neg_My_01,neg,110.45398430693743,5.008614813553621,233.9576053188134,113.79088911465031,-59.29804396435962,-2.0148350874387644,1.9045228179813338,case_01,My,0.256,0.288595976
neg_My_02,neg,111.57488515448901,4.414348080048228,277.8832940717792,113.7950376783074,-65.53932392325088,-1.3677072355028044,2.1335450762048422,case_01,My,0.256,0.288595976
neg_My_03,neg,111.64003829651918,4.2570888595333845,292.9259758930605,113.81982568389208,-29.20429354498333,-0.9748317849661341,0.9385587001035725,case_01,My,0.256,0.288595976
neg_My_045,neg,111.25955531632306,3.651571638059564,276.74318044813697,113.33618005916102,-47.335877229774574,-0.2747486832584481,1.5646643216054854,case_01,My,0.256,0.288595976
